2PA,2PM,Age,All TD,FGA,FGM,Fbl TD,GS,Games,Int TD,Kr Td,Number of Records,Oth TD,Pr Td,Player,Position,Pts/G,Pts,Rec TD,Rsh TD,Salary,Sfty,Team,XPA,XPM
,,,,,,,,,,,1,,,Tyvis Powell,FS,,,,,129200,,SFO,,
,,,,,,,,,,,1,,,Godwin Igwebuike,FS,,,,,129200,,TAM,,
,,,,,,,,,,,1,,,Andrew Adams,FS,,,,,395294,,TAM,,
,,,,,,,,,,,1,,,Kenny Ladler,FS,,,,,522352,,WAS,,
,,,,,,,,,,,1,,,Patrick Omameh,G,,,,,325294,,2TM,,
,,,,,,,,,,,1,,,Zack Golditch,G,,,,,225880,,ARI,,
,,,,,,,,,,,1,,,Brendan Mahon,G,,,,,480000,,CAR,,
,,,,,,,,,,,1,,,Alex Redmond,G,,,,,555000,,CIN,,
,,,,,,,,,,,1,,,Trey Hopkins,G,,,,,555000,,CIN,,
,,,,,,,,,,,1,,,Adam Redmond,G,,,,,480000,,DAL,,
,,,,,,,,,,,1,,,Gino Gradkowski,G,,,,,325297,,DEN,,
,,,,,,,,,,,1,,,Justin McCray,G,,,,,555000,,GNB,,
,,,,,,,,,,,1,,,Lucas Patrick,G,,,,,555000,,GNB,,
,,,,,,,,,,,1,,,Chris Reed,G,,,,,630000,,JAX,,
,,,,,,,,,,,1,,,Jordan Simmons,G,,,,,480000,,SEA,,
,,,,,,,,,,,1,,,Aaron Stinnie,G,,,,,480000,,TEN,,
,,,,,,,,,,,1,,,Tra Carson,HB,,,,,480000,,2TM,,
,,,,,,,,,,,1,,,Jordan Franks,HB,,,,,129200,,CIN,,
,,,,,,,,,,,1,,,Joe Walker,ILB,,,,,489706,,ARI,,
,,,,,,,,,,,1,,,Tremaine Edmunds,ILB,,,,,480000,,BUF,,
,,,,,,,,,,,1,,,Andre Smith,ILB,,,,,480000,,CAR,,
,,,,,,,,,,,1,,,Jared Norris,ILB,,,,,630000,,CAR,,
,,,,,,,,,,,1,,,Roquan Smith,ILB,,,,,480000,,CHI,,
,,,,,,,,,,,1,,,Nick Kwiatkoski,ILB,,,,,630000,,CHI,,
,,,,,,,,,,,1,,,Hardy Nickerson,ILB,,,,,555000,,CIN,,
,,,,,,,,,,,1,,,Jordan Evans,ILB,,,,,555000,,CIN,,
,,,,,,,,,,,1,,,Nick Vigil,ILB,,,,,630000,,CIN,,
,,,,,,,,,,,1,,,Tanner Vallejo,ILB,,,,,555000,,CLE,,
,,,,,,,,,,,1,,,Josey Jewell,ILB,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,Keishawn Bierria,ILB,,,,,480000,,DEN,,
,,,,,,,,,,,1,,,Oren Burks,ILB,,,,,480000,,GNB,,
,,,,,,,,,,,1,,,Antonio Morrison,ILB,,,,,630000,,GNB,,
,,,,,,,,,,,1,,,Blake Martinez,ILB,,,,,630000,,GNB,,
,,,,,,,,,,,1,,,Blair Brown,ILB,,,,,555000,,JAX,,
,,,,,,,,,,,1,,,Hayes Pullard,ILB,,,,,373235,,LAC,,
,,,,,,,,,,,1,,,Micah Kiser,ILB,,,,,480000,,LAR,,
